player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,region,league,zscore
elfie,MKS,"['reyna', 'raze', 'omen']",310,1.27,260.7,1.21,78.0,169.8,0.9,0.31,0.13,0.12,26.0,23.0,ap,gc,13.748756060196289
par,scofield,"['reyna', 'phoenix', 'raze']",269,1.22,255.8,1.21,70.0,164.2,0.9,0.2,0.19,0.11,29.0,33.0,ap,challengers,13.737329344497184
ZesBeeW,BME,"['omen', 'viper', 'brimstone']",475,1.21,214.7,1.27,79.0,136.7,0.79,0.43,0.08,0.05,20.0,12.0,ap,challengers,7.498474510722237
alyaL,FPT,"['viper', 'fade', 'killjoy']",216,1.2,238.5,1.26,75.0,159.7,0.8300000000000001,0.29,0.12,0.1,28.0,6.0,ap,challengers,7.99988217853928
marky,OAS,"['viper', 'astra', 'sova']",294,1.2,237.8,1.23,81.0,151.8,0.85,0.31,0.16,0.12,25.0,8.0,ap,challengers,9.56886249737536
PapiChulo,NAOS,"['omen', 'viper', 'brimstone']",417,1.19,209.8,1.23,77.0,137.6,0.77,0.35000000000000003,0.06,0.07,26.0,18.0,ap,challengers,6.518049367405414
PIETY,SISU,"['viper', 'killjoy', 'cypher']",358,1.19,225.8,1.26,75.0,152.2,0.79,0.26,0.08,0.02,32.0,16.0,ap,gc,10.010818520377065
seph1roth,MITH,"['killjoy', 'viper', 'cypher']",366,1.19,229.1,1.31,74.0,151.7,0.8300000000000001,0.17,0.11,0.08,39.0,19.0,ap,challengers,10.746574432704367
ting2k5,FPT,"['fade', 'skye', 'cypher']",216,1.18,213.2,1.4,72.0,146.2,0.8200000000000001,0.14,0.13,0.11,31.0,8.0,ap,challengers,5.054489423900908
Kohaibi,SMG.GC,"['cypher', 'iso', 'reyna']",272,1.18,235.4,1.24,77.0,154.0,0.81,0.25,0.12,0.05,25.0,8.0,ap,gc,8.249043061797396
cgrs,MITH,"['sova', 'gekko', 'cypher']",366,1.17,213.4,1.21,78.0,143.5,0.75,0.32,0.06,0.03,24.0,17.0,ap,challengers,7.133948029474642
Techno,OGS,"['viper', 'omen', 'brimstone']",207,1.16,232.6,1.15,74.0,144.9,0.8,0.41000000000000003,0.16,0.07,31.0,19.0,ap,challengers,11.629660255360129
Shiro,BME,"['viper', 'clove', 'breach']",475,1.16,221.8,1.15,79.0,148.1,0.78,0.47000000000000003,0.12,0.08,25.0,22.0,ap,challengers,11.224437393823308
grumble,DSG,"['viper', 'cypher']",420,1.16,233.1,1.28,77.0,157.5,0.85,0.26,0.07,0.05,39.0,5.0,ap,challengers,10.638604912238334
primmie,TLN,"['clove', 'jett', 'iso']",203,1.16,249.9,1.15,71.0,165.0,0.9,0.23,0.13,0.1,41.0,20.0,ap,international,12.747029909943867
kitkatwc,NE,"['skye', 'viper', 'kayo']",324,1.15,239.1,1.19,75.0,148.9,0.8300000000000001,0.4,0.13,0.06,24.0,10.0,ap,gc,9.357131647598715
d0rf,FPT,"['gekko', 'killjoy', 'breach']",216,1.15,204.4,1.25,76.0,138.0,0.75,0.23,0.06,0.05,32.0,25.0,ap,challengers,7.595792698338013
Famouz,BME,"['raze', 'jett']",475,1.15,249.4,1.22,73.0,162.1,0.85,0.22,0.19,0.16,17.0,15.0,ap,challengers,6.4010616002840415
